--------- beginning of crash
07-11 18:11:11.045 10487 10540 E AndroidRuntime: 	at androidx.room.coroutines.PassthroughConnectionPool.useConnection(PassthroughConnectionPool.kt:59)
07-11 18:11:11.045 10487 10540 E AndroidRuntime: 	at androidx.room.RoomConnectionManager.useConnection(RoomConnectionManager.android.kt:138)
07-11 18:11:11.045 10487 10540 E AndroidRuntime: 	at androidx.room.RoomDatabase.useConnection(RoomDatabase.android.kt:619)
07-11 18:11:11.045 10487 10540 E AndroidRuntime: 	at androidx.room.util.DBUtil__DBUtil_androidKt$performInTransactionSuspending$2.invokeSuspend(DBUtil.android.kt:260)
07-11 18:11:11.045 10487 10540 E AndroidRuntime: 	at androidx.room.util.DBUtil__DBUtil_androidKt$performInTransactionSuspending$2.invoke(DBUtil.android.kt:8)
07-11 18:11:11.045 10487 10540 E AndroidRuntime: 	at androidx.room.util.DBUtil__DBUtil_androidKt$performInTransactionSuspending$2.invoke(DBUtil.android.kt:2)
07-11 18:11:11.045 10487 10540 E AndroidRuntime: 	at androidx.room.RoomDatabaseKt__RoomDatabase_androidKt$withTransactionContext$transactionBlock$1.invokeSuspend(RoomDatabase.android.kt:2058)
07-11 18:11:11.045 10487 10540 E AndroidRuntime: 	at androidx.room.RoomDatabaseKt__RoomDatabase_androidKt$withTransactionContext$transactionBlock$1.invoke(RoomDatabase.android.kt:8)
07-11 18:11:11.045 10487 10540 E AndroidRuntime: 	at androidx.room.RoomDatabaseKt__RoomDatabase_androidKt$withTransactionContext$transactionBlock$1.invoke(RoomDatabase.android.kt:4)
07-11 18:11:11.045 10487 10540 E AndroidRuntime: 	at kotlinx.coroutines.intrinsics.UndispatchedKt.startUndispatchedOrReturn(Undispatched.kt:42)
07-11 18:11:11.045 10487 10540 E AndroidRuntime: 	at kotlinx.coroutines.BuildersKt__Builders_commonKt.withContext(Builders.common.kt:164)
07-11 18:11:11.045 10487 10540 E AndroidRuntime: 	at kotlinx.coroutines.BuildersKt.withContext(dex-id-fc9e0c92f1ade7650716b75d8748165b5bacf67f:1)
07-11 18:11:11.046 10487 10540 E AndroidRuntime: 	at androidx.room.RoomDatabaseKt__RoomDatabase_androidKt$startTransactionCoroutine$2$1$1.invokeSuspend(RoomDatabase.android.kt:2087)
07-11 18:11:11.046 10487 10540 E AndroidRuntime: 	at kotlin.coroutines.jvm.internal.BaseContinuationImpl.resumeWith(ContinuationImpl.kt:34)
07-11 18:11:11.046 10487 10540 E AndroidRuntime: 	at kotlinx.coroutines.DispatchedTask.run(DispatchedTask.kt:101)
07-11 18:11:11.046 10487 10540 E AndroidRuntime: 	at kotlinx.coroutines.EventLoopImplBase.processNextEvent(EventLoop.common.kt:263)
07-11 18:11:11.046 10487 10540 E AndroidRuntime: 	at kotlinx.coroutines.BlockingCoroutine.joinBlocking(Builders.kt:95)
07-11 18:11:11.046 10487 10540 E AndroidRuntime: 	at kotlinx.coroutines.BuildersKt__BuildersKt.runBlocking(Builders.kt:69)
07-11 18:11:11.046 10487 10540 E AndroidRuntime: 	at kotlinx.coroutines.BuildersKt.runBlocking(dex-id-fc9e0c92f1ade7650716b75d8748165b5bacf67f:1)
07-11 18:11:11.046 10487 10540 E AndroidRuntime: 	at androidx.room.RoomDatabaseKt__RoomDatabase_androidKt$startTransactionCoroutine$2$1.run(RoomDatabase.android.kt:2084)
07-11 18:11:11.046 10487 10540 E AndroidRuntime: 	at androidx.room.TransactionExecutor.execute$lambda$1$lambda$0(TransactionExecutor.android.kt:38)
07-11 18:11:11.046 10487 10540 E AndroidRuntime: 	at androidx.room.TransactionExecutor$$ExternalSyntheticLambda0.run(D8$$SyntheticClass:0)
07-11 18:11:11.046 10487 10540 E AndroidRuntime: 	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1100)
07-11 18:11:11.046 10487 10540 E AndroidRuntime: 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:624)
07-11 18:11:11.046 10487 10540 E AndroidRuntime: 	at java.lang.Thread.run(Thread.java:1572)
07-11 18:11:11.046 10487 10540 E AndroidRuntime: 	Suppressed: kotlinx.coroutines.internal.DiagnosticCoroutineContextException: [StandaloneCoroutine{Cancelling}@f4acee8, Dispatchers.IO]
07-11 18:11:20.251 10549 10596 E AndroidRuntime: FATAL EXCEPTION: DefaultDispatcher-worker-4
07-11 18:11:20.251 10549 10596 E AndroidRuntime: Process: com.kaon.music, PID: 10549
07-11 18:11:20.251 10549 10596 E AndroidRuntime: android.database.sqlite.SQLiteConstraintException: FOREIGN KEY constraint failed (code 787 SQLITE_CONSTRAINT_FOREIGNKEY)
07-11 18:11:20.251 10549 10596 E AndroidRuntime: 	at android.database.sqlite.SQLiteConnection.nativeExecute(Native Method)
07-11 18:11:20.251 10549 10596 E AndroidRuntime: 	at android.database.sqlite.SQLiteConnection.execute(SQLiteConnection.java:743)
07-11 18:11:20.251 10549 10596 E AndroidRuntime: 	at android.database.sqlite.SQLiteSession.execute(SQLiteSession.java:645)
07-11 18:11:20.251 10549 10596 E AndroidRuntime: 	at android.database.sqlite.SQLiteStatement.execute(SQLiteStatement.java:47)
07-11 18:11:20.251 10549 10596 E AndroidRuntime: 	at androidx.sqlite.db.framework.FrameworkSQLiteStatement.execute(FrameworkSQLiteStatement.android.kt:30)
07-11 18:11:20.251 10549 10596 E AndroidRuntime: 	at androidx.sqlite.driver.SupportSQLiteStatement$OtherSQLiteStatement.step(SupportSQLiteStatement.android.kt:588)
07-11 18:11:20.251 10549 10596 E AndroidRuntime: 	at androidx.room.EntityInsertAdapter.insert(EntityInsertAdapter.kt:59)
07-11 18:11:20.251 10549 10596 E AndroidRuntime: 	at androidx.room.EntityUpsertAdapter.upsert(EntityUpsertAdapter.kt:75)
07-11 18:11:20.251 10549 10596 E AndroidRuntime: 	at com.kaon.music.media.library.db.dao.LibrarySyncDao_Impl.upsertSongs$lambda$0(LibrarySyncDao_Impl.kt:226)
07-11 18:11:20.251 10549 10596 E AndroidRuntime: 	at com.kaon.music.media.library.db.dao.LibrarySyncDao_Impl$$ExternalSyntheticLambda2.invoke(D8$$SyntheticClass:0)
07-11 18:11:20.251 10549 10596 E AndroidRuntime: 	at androidx.room.util.DBUtil__DBUtil_androidKt$performSuspending$lambda$1$$inlined$internalPerform$1$1.invokeSuspend(DBUtil.kt:61)
07-11 18:11:20.251 10549 10596 E AndroidRuntime: 	at androidx.room.util.DBUtil__DBUtil_androidKt$performSuspending$lambda$1$$inlined$internalPerform$1$1.invoke(DBUtil.kt:8)
07-11 18:11:20.251 10549 10596 E AndroidRuntime: 	at androidx.room.util.DBUtil__DBUtil_androidKt$performSuspending$lambda$1$$inlined$internalPerform$1$1.invoke(DBUtil.kt:4)
07-11 18:11:20.251 10549 10596 E AndroidRuntime: 	at androidx.room.coroutines.PassthroughConnection.transaction(PassthroughConnectionPool.kt:127)
07-11 18:11:20.251 10549 10596 E AndroidRuntime: 	at androidx.room.coroutines.PassthroughConnection.access$transaction(PassthroughConnectionPool.kt:77)
07-11 18:11:20.251 10549 10596 E AndroidRuntime: 	at androidx.room.coroutines.PassthroughConnection$withTransaction$2.invokeSuspend(PassthroughConnectionPool.kt:103)
07-11 18:11:20.251 10549 10596 E AndroidRuntime: 	at androidx.room.coroutines.PassthroughConnection$withTransaction$2.invoke(PassthroughConnectionPool.kt:8)
07-11 18:11:20.251 10549 10596 E AndroidRuntime: 	at androidx.room.coroutines.PassthroughConnection$withTransaction$2.invoke(PassthroughConnectionPool.kt:2)
